Rk,Player,Tm,2019-20
1,Stephen Curry\curryst01,GSW,"$40,231,758 "
2,Russell Westbrook\westbru01,HOU,"$38,506,482 "
3,Chris Paul\paulch01,OKC,"$38,506,482 "
4,John Wall\walljo01,WAS,"$38,199,000 "
5,James Harden\hardeja01,HOU,"$38,199,000 "
6,LeBron James\jamesle01,LAL,"$37,436,858 "
7,Kevin Durant\duranke01,BRK,"$37,199,000 "
8,Blake Griffin\griffbl01,DET,"$34,234,964 "
9,Kyle Lowry\lowryky01,TOR,"$33,296,296 "
10,Paul George\georgpa01,LAC,"$33,005,556 "
11,Klay Thompson\thompkl01,GSW,"$32,742,000 "
12,Tobias Harris\harrito02,PHI,"$32,742,000 "
13,Jimmy Butler\butleji01,MIA,"$32,742,000 "
14,Kemba Walker\walkeke02,BOS,"$32,742,000 "
15,Kawhi Leonard\leonaka01,LAC,"$32,742,000 "
16,Gordon Hayward\haywago01,BOS,"$32,700,690 "
17,Mike Conley\conlemi01,UTA,"$32,511,623 "
18,Kyrie Irving\irvinky01,BRK,"$31,742,000 "
19,Khris Middleton\middlkh01,MIL,"$30,603,448 "
20,Paul Millsap\millspa01,DEN,"$30,500,000 "
21,Damian Lillard\lillada01,POR,"$29,802,321 "
22,Kevin Love\loveke01,CLE,"$28,942,830 "
23,Nikola Vučević\vucevni01,ORL,"$28,000,000 "
24,Al Horford\horfoal01,PHI,"$28,000,000 "
25,DeMar DeRozan\derozde01,SAS,"$27,739,975 "
26,CJ McCollum\mccolcj01,POR,"$27,556,959 "
27,Joel Embiid\embiijo01,PHI,"$27,504,630 "
28,Andrew Wiggins\wiggian01,GSW,"$27,504,630 "
29,Devin Booker\bookede01,PHO,"$27,285,000 "
30,Karl-Anthony Towns\townska01,MIN,"$27,285,000 "
31,Kristaps Porziņģis\porzikr01,DAL,"$27,285,000 "
32,D'Angelo Russell\russeda01,MIN,"$27,285,000 "
33,Otto Porter\porteot01,CHI,"$27,250,576 "
34,Bradley Beal\bealbr01,WAS,"$27,093,019 "
35,Andre Drummond\drumman01,CLE,"$27,093,019 "
36,Anthony Davis\davisan02,LAL,"$27,093,019 "
37,Hassan Whiteside\whiteha01,POR,"$27,093,018 "
38,Nikola Jokić\jokicni01,DEN,"$26,573,595 "
39,Jrue Holiday\holidjr01,NOP,"$26,131,111 "
40,LaMarcus Aldridge\aldrila01,SAS,"$26,000,000 "
41,Steven Adams\adamsst01,OKC,"$25,842,697 "
42,Giannis Antetokounmpo\antetgi01,MIL,"$25,842,697 "
43,Marc Gasol\gasolma01,TOR,"$25,595,700 "
44,Nicolas Batum\batumni01,CHO,"$25,565,217 "
45,Chandler Parsons\parsoch01,ATL,"$25,102,511 "
46,Rudy Gobert\goberru01,UTA,"$25,008,427 "
47,Harrison Barnes\barneha02,SAC,"$24,147,727 "
48,Serge Ibaka\ibakase01,TOR,"$23,271,604 "
49,Danilo Gallinari\gallida01,OKC,"$22,615,559 "
50,Victor Oladipo\oladivi01,IND,"$21,000,000 "
51,Malcolm Brogdon\brogdma01,IND,"$20,000,000 "
52,Terry Rozier\roziete01,CHO,"$19,894,737 "
53,Aaron Gordon\gordoaa01,ORL,"$19,863,636 "
54,Zach LaVine\lavinza01,CHI,"$19,500,000 "
55,Kent Bazemore\bazemke01,SAC,"$19,269,662 "
56,Tyler Johnson\johnsty01,PHO,"$19,245,370 "
57,Goran Dragić\dragigo01,MIA,"$19,217,900 "
58,Jeff Teague\teaguje01,ATL,"$19,000,000 "
59,Evan Turner\turneev01,MIN,"$18,606,557 "
60,Draymond Green\greendr01,GSW,"$18,539,130 "
61,Tristan Thompson\thomptr01,CLE,"$18,539,130 "
62,Tim Hardaway\hardati02,DAL,"$18,150,000 "
63,Myles Turner\turnemy01,IND,"$18,000,000 "
64,Julius Randle\randlju01,NYK,"$18,000,000 "
65,Gary Harris\harriga01,DEN,"$17,839,286 "
66,Allen Crabbe\crabbal01,MIN,"$17,818,456 "
67,Derrick Favors\favorde01,NOP,"$17,650,000 "
68,Reggie Jackson\jacksre01,DET,"$17,286,956 "
69,Andre Iguodala\iguodan01,MIA,"$17,185,185 "
70,Bojan Bogdanović\bogdabo02,UTA,"$17,000,000 "
71,Evan Fournier\fournev01,ORL,"$17,000,000 "
72,Bismack Biyombo\biyombi01,CHO,"$17,000,000 "
73,Gorgui Dieng\dienggo01,MEM,"$16,229,213 "
74,Ricky Rubio\rubiori01,PHO,"$16,200,000 "
75,Jonas Valančiūnas\valanjo01,MEM,"$16,000,000 "
76,Brandon Knight\knighbr03,DET,"$15,643,750 "
77,Eric Bledsoe\bledser01,MIL,"$15,625,000 "
78,Kelly Oubre\oubreke01,PHO,"$15,625,000 "
79,Dennis Schröder\schrode01,OKC,"$15,500,000 "
80,Ian Mahinmi\mahinia01,WAS,"$15,450,051 "
81,James Johnson\johnsja01,MIN,"$15,349,400 "
82,Bobby Portis\portibo01,NYK,"$15,000,000 "
83,Marcus Morris\morrima03,LAC,"$15,000,000 "
84,Clint Capela\capelca01,ATL,"$14,896,552 "
85,Danny Green\greenda02,LAL,"$14,634,146 "
86,Cody Zeller\zelleco01,CHO,"$14,471,910 "
87,Eric Gordon\gordoer01,HOU,"$14,057,730 "
88,Marvin Williams\willima02,CHO,"$14,049,901 "
89,Mason Plumlee\plumlma01,DEN,"$14,041,096 "
90,Rudy Gay\gayru01,SAS,"$14,000,000 "
91,J.J. Redick\redicjj01,NOP,"$13,486,300 "
92,Jordan Clarkson\clarkjo01,UTA,"$13,437,500 "
93,Dewayne Dedmon\dedmode01,ATL,"$13,333,334 "
94,Justise Winslow\winslju01,MEM,"$13,000,000 "
95,Thaddeus Young\youngth01,CHI,"$12,900,000 "
96,Will Barton\bartowi01,DEN,"$12,776,786 "
97,Courtney Lee\leeco01,DAL,"$12,759,670 "
98,Solomon Hill\hillso01,MIA,"$12,758,781 "
99,Larry Nance\nancela02,CLE,"$12,727,273 "
100,Marcus Smart\smartma01,BOS,"$12,553,471 "
101,Terrence Ross\rosste01,ORL,"$12,500,000 "
102,Miles Plumlee\plumlmi01,MEM,"$12,500,000 "
103,Patty Mills\millspa02,SAS,"$12,428,571 "
104,Patrick Beverley\beverpa01,LAC,"$12,345,679 "
105,Trevor Ariza\arizatr01,POR,"$12,200,000 "
106,Michael Kidd-Gilchrist\kiddgmi01,CHO,"$12,189,237 "
107,Dion Waiters\waitedi01,MEM,"$12,100,000 "
108,Brook Lopez\lopezbr01,MIL,"$12,093,024 "
109,Jusuf Nurkić\nurkiju01,POR,"$12,000,000 "
110,Cory Joseph\josepco01,SAC,"$12,000,000 "
111,Joe Ingles\inglejo01,UTA,"$11,954,546 "
112,Kelly Olynyk\olynyke01,MIA,"$11,667,885 "
113,Maurice Harkless\harklma01,NYK,"$11,511,234 "
114,Tony Snell\snellto01,DET,"$11,392,857 "
115,Robert Covington\covinro01,HOU,"$11,301,219 "
116,Meyers Leonard\leoname01,MIA,"$11,286,515 "
117,T.J. Warren\warretj01,IND,"$10,810,000 "
118,Andre Roberson\roberan03,OKC,"$10,740,741 "
119,Spencer Dinwiddie\dinwisp01,BRK,"$10,605,600 "
120,Jeremy Lamb\lambje01,IND,"$10,500,000 "
121,Dwight Powell\poweldw01,DAL,"$10,259,375 "
122,Norman Powell\powelno01,TOR,"$10,116,576 "
123,Josh Richardson\richajo01,PHI,"$10,116,576 "
124,Tomáš Satoranský\satorto01,CHI,"$10,000,000 "
125,DeAndre Jordan\jordade01,BRK,"$9,881,598 "
126,Taj Gibson\gibsota01,NYK,"$9,800,000 "
127,Zion Williamson\willizi01,NOP,"$9,757,440 "
128,Markelle Fultz\fultzma01,ORL,"$9,745,200 "
129,John Henson\hensojo01,DET,"$9,732,396 "
130,Matthew Dellavedova\dellama01,CLE,"$9,607,500 "
131,Dante Exum\exumda01,CLE,"$9,600,000 "
132,Deandre Ayton\aytonde01,PHO,"$9,562,920 "
133,Delon Wright\wrighde01,DAL,"$9,473,684 "
134,Fred VanVleet\vanvlfr01,TOR,"$9,346,153 "
135,Jerami Grant\grantje01,DEN,"$9,346,153 "
136,Al-Farouq Aminu\aminual01,ORL,"$9,258,000 "
137,George Hill\hillge01,MIL,"$9,133,907 "
138,Kyle Anderson\anderky01,MEM,"$9,073,050 "
139,Ja Morant\moranja01,MEM,"$8,730,240 "
140,C.J. Miles\milescj01,WAS,"$8,730,158 "
141,Lonzo Ball\balllo01,NOP,"$8,719,320 "
142,E'Twaun Moore\mooreet01,NOP,"$8,664,928 "
143,Marvin Bagley\baglema01,SAC,"$8,556,120 "
144,Bogdan Bogdanović\bogdabo01,SAC,"$8,529,386 "
145,Tyus Jones\jonesty01,MEM,"$8,408,000 "
146,P.J. Tucker\tuckepj01,HOU,"$8,349,039 "
147,Cristiano Felício\feliccr01,CHI,"$8,156,500 "
148,Ben Simmons\simmobe01,PHI,"$8,113,930 "
149,Kentavious Caldwell-Pope\caldwke01,LAL,"$8,089,282 "
150,Thomas Bryant\bryanth01,WAS,"$8,000,000 "
151,Maxi Kleber\klebima01,DAL,"$8,000,000 "
152,Lou Williams\willilo02,LAC,"$8,000,000 "
153,Elfrid Payton\paytoel01,NYK,"$8,000,000 "
154,Wayne Ellington\ellinwa01,NYK,"$8,000,000 "
155,RJ Barrett\barrerj01,NYK,"$7,839,960 "
156,Jayson Tatum\tatumja01,BOS,"$7,830,000 "
157,Jae Crowder\crowdja01,MIA,"$7,815,533 "
158,Luka Dončić\doncilu01,DAL,"$7,683,360 "
159,Joe Harris\harrijo01,BRK,"$7,666,667 "
160,Seth Curry\curryse01,DAL,"$7,461,380 "
161,Doug McDermott\mcderdo01,IND,"$7,333,334 "
162,Langston Galloway\gallola01,DET,"$7,333,333 "
163,Derrick Rose\rosede01,DET,"$7,317,073 "
164,Brandon Ingram\ingrabr01,NOP,"$7,265,485 "
165,D.J. Augustin\augusdj01,ORL,"$7,250,000 "
166,Darius Miller\milleda01,NOP,"$7,250,000 "
167,De'Andre Hunter\huntede01,ATL,"$7,068,360 "
168,Josh Jackson\jacksjo02,MEM,"$7,059,480 "
